# ---------------------------------------------------------------------------------------------------------
# Threshold	Precision	Recall   	F1-measure	Classif-ER	Fls-Alarm-Prob	Miss-Prob   
# ---------------------------------------------------------------------------------------------------------
0.420 0.841 0.681 0.752 0.000 0.000 0.319 
0.427 0.843 0.680 0.752 0.000 0.000 0.320 
0.432 0.843 0.679 0.752 0.000 0.000 0.321 
0.435 0.844 0.678 0.752 0.000 0.000 0.322 
0.444 0.845 0.677 0.752 0.000 0.000 0.323 
0.456 0.847 0.675 0.752 0.000 0.000 0.325 
0.468 0.849 0.674 0.751 0.000 0.000 0.326 
0.482 0.851 0.672 0.751 0.000 0.000 0.328 
0.489 0.854 0.671 0.751 0.000 0.000 0.329 
0.490 0.854 0.671 0.751 0.000 0.000 0.329 
0.501 0.855 0.670 0.751 0.000 0.000 0.330 
0.509 0.856 0.668 0.751 0.000 0.000 0.332 
0.515 0.857 0.666 0.750 0.000 0.000 0.334 
0.518 0.858 0.666 0.750 0.000 0.000 0.334 
0.519 0.858 0.665 0.750 0.000 0.000 0.335 
0.521 0.858 0.665 0.750 0.000 0.000 0.335 
0.523 0.859 0.665 0.750 0.000 0.000 0.335 
0.525 0.859 0.665 0.750 0.000 0.000 0.335 
0.528 0.859 0.665 0.750 0.000 0.000 0.335 
0.536 0.861 0.663 0.749 0.000 0.000 0.337 
0.545 0.861 0.662 0.749 0.000 0.000 0.338 
0.555 0.863 0.660 0.748 0.000 0.000 0.340 
0.560 0.863 0.659 0.748 0.000 0.000 0.341 
0.571 0.865 0.658 0.747 0.000 0.000 0.342 
0.589 0.867 0.656 0.747 0.000 0.000 0.344 
0.599 0.869 0.654 0.747 0.000 0.000 0.346 
0.602 0.869 0.654 0.746 0.000 0.000 0.346 
0.607 0.871 0.653 0.746 0.000 0.000 0.347 
0.608 0.871 0.653 0.746 0.000 0.000 0.347 
0.610 0.871 0.653 0.746 0.000 0.000 0.347 
0.613 0.872 0.653 0.746 0.000 0.000 0.347 
0.616 0.872 0.652 0.746 0.000 0.000 0.348 
0.621 0.873 0.651 0.746 0.000 0.000 0.349 
0.627 0.874 0.651 0.746 0.000 0.000 0.349 
0.653 0.877 0.646 0.744 0.000 0.000 0.354 
0.665 0.878 0.644 0.743 0.000 0.000 0.356 
0.668 0.879 0.643 0.743 0.000 0.000 0.357 
0.671 0.879 0.643 0.743 0.000 0.000 0.357 
0.675 0.880 0.642 0.742 0.000 0.000 0.358 
0.677 0.880 0.642 0.742 0.000 0.000 0.358 
0.690 0.883 0.640 0.742 0.000 0.000 0.360 
0.692 0.883 0.640 0.742 0.000 0.000 0.360 
0.713 0.886 0.637 0.741 0.000 0.000 0.363 
0.736 0.888 0.633 0.739 0.000 0.000 0.367 
0.742 0.889 0.632 0.739 0.000 0.000 0.368 
0.756 0.891 0.629 0.738 0.000 0.000 0.371 
0.775 0.893 0.626 0.736 0.000 0.000 0.374 
0.777 0.894 0.625 0.735 0.000 0.000 0.375 
0.780 0.894 0.624 0.735 0.000 0.000 0.376 
0.784 0.894 0.624 0.735 0.000 0.000 0.376 
0.792 0.896 0.622 0.734 0.000 0.000 0.378 
0.793 0.896 0.622 0.734 0.000 0.000 0.378 
0.796 0.897 0.621 0.734 0.000 0.000 0.379 
0.811 0.899 0.617 0.732 0.000 0.000 0.383 
0.812 0.899 0.617 0.732 0.000 0.000 0.383 
0.830 0.902 0.613 0.730 0.000 0.000 0.387 
0.834 0.903 0.612 0.730 0.000 0.000 0.388 
0.840 0.904 0.610 0.729 0.000 0.000 0.390 
0.847 0.905 0.608 0.728 0.000 0.000 0.392 
0.848 0.905 0.608 0.727 0.000 0.000 0.392 
0.850 0.905 0.607 0.727 0.000 0.000 0.393 
0.863 0.907 0.602 0.724 0.000 0.000 0.398 
0.867 0.908 0.601 0.723 0.000 0.000 0.399 
0.873 0.909 0.599 0.722 0.000 0.000 0.401 
0.874 0.909 0.599 0.722 0.000 0.000 0.401 
0.878 0.911 0.597 0.721 0.000 0.000 0.403 
0.879 0.911 0.597 0.721 0.000 0.000 0.403 
0.879 0.911 0.596 0.721 0.000 0.000 0.404 
0.885 0.912 0.594 0.720 0.000 0.000 0.406 
0.887 0.912 0.593 0.719 0.000 0.000 0.407 
0.894 0.914 0.591 0.717 0.000 0.000 0.409 
0.899 0.915 0.588 0.715 0.000 0.000 0.412 
0.900 0.915 0.587 0.715 0.000 0.000 0.413 
0.904 0.916 0.585 0.714 0.000 0.000 0.415 
0.907 0.917 0.584 0.713 0.000 0.000 0.416 
0.909 0.917 0.583 0.713 0.000 0.000 0.417 
0.911 0.918 0.581 0.711 0.000 0.000 0.419 
0.913 0.918 0.580 0.711 0.000 0.000 0.420 
0.919 0.919 0.576 0.708 0.000 0.000 0.424 
0.922 0.919 0.575 0.707 0.000 0.000 0.425 
0.923 0.920 0.574 0.707 0.000 0.000 0.426 
0.924 0.920 0.572 0.705 0.000 0.000 0.428 
0.925 0.920 0.572 0.705 0.000 0.000 0.428 
0.933 0.922 0.565 0.701 0.000 0.000 0.435 
0.934 0.922 0.564 0.700 0.000 0.000 0.436 
0.935 0.922 0.563 0.699 0.000 0.000 0.437 
0.938 0.923 0.561 0.698 0.000 0.000 0.439 
0.939 0.923 0.561 0.697 0.000 0.000 0.439 
0.940 0.923 0.560 0.697 0.000 0.000 0.440 
0.942 0.924 0.558 0.696 0.000 0.000 0.442 
0.942 0.924 0.557 0.695 0.000 0.000 0.443 
0.946 0.925 0.553 0.693 0.000 0.000 0.447 
0.949 0.926 0.550 0.690 0.000 0.000 0.450 
0.951 0.927 0.548 0.689 0.000 0.000 0.452 
0.951 0.927 0.547 0.688 0.000 0.000 0.453 
0.952 0.927 0.546 0.687 0.000 0.000 0.454 
0.954 0.928 0.545 0.686 0.000 0.000 0.455 
0.955 0.928 0.543 0.685 0.000 0.000 0.457 
0.955 0.928 0.542 0.684 0.000 0.000 0.458 
0.961 0.930 0.535 0.679 0.000 0.000 0.465 
0.961 0.930 0.534 0.679 0.000 0.000 0.466 
0.964 0.931 0.530 0.676 0.000 0.000 0.470 
0.966 0.932 0.527 0.673 0.000 0.000 0.473 
0.970 0.933 0.521 0.669 0.000 0.000 0.479 
0.974 0.934 0.512 0.662 0.000 0.000 0.488 
0.975 0.934 0.507 0.658 0.000 0.000 0.493 
